Postalcode,Latitude,Longitude
10001,40.750742,-73.99653
10002,40.71704,-73.987
10003,40.732509,-73.98935
10005,40.706019,-74.00858
10006,40.707904,-74.01342
10007,40.714754,-74.00721
10008,40.780751,-73.977182
10009,40.727092999999996,-73.97864
10010,40.739022,-73.98205
10011,40.741012,-74.00012
10012,40.72596,-73.99834
10013,40.720666,-74.00526
10014,40.734718,-74.00532
10015,40.780751,-73.977182
10016,40.74618,-73.97759
10017,40.752159,-73.97231
10018,40.755101,-73.99337
10019,40.765714,-73.9856
10020,40.758667,-73.98024
10021,40.76842,-73.96045
10022,40.759015,-73.96732
10023,40.776099,-73.98285
10024,40.786387,-73.97709
10025,40.798502,-73.96811
10026,40.802853,-73.95471
10027,40.812665,-73.95499
10028,40.776777,-73.9541
10029,40.791586,-73.94575
10030,40.818151,-73.94351
10031,40.826201,-73.94879
10032,40.840686,-73.94154
10033,40.848764,-73.93496
10034,40.867653,-73.92
10035,40.802395,-73.93359
10036,40.759511,-73.99019
10037,40.813385,-73.93616
10038,40.709677,-74.00365
10039,40.826181,-73.9371
10040,40.858704,-73.92853
10041,40.703041999999996,-74.01009
10043,40.780751,-73.977182
10044,40.762174,-73.94917
10045,40.70859,-74.008687
10046,40.780751,-73.977182
10047,40.780751,-73.977182
10048,40.712086,-74.01227
10055,40.780751,-73.977182
10060,40.780751,-73.977182
10069,40.775477,-73.9905
10072,40.780751,-73.977182
10079,40.780751,-73.977182
10080,40.780751,-73.977182
10081,40.780751,-73.977182
10082,40.780751,-73.977182
10087,40.780751,-73.977182
10090,40.780751,-73.977182
10094,40.780751,-73.977182
10095,40.748181,-73.988421
10096,40.780751,-73.977182
10098,40.748181,-73.988421
10099,40.780751,-73.977182
10101,40.780751,-73.977182
10102,40.780751,-73.977182
10103,40.760915,-73.97785
10104,40.760943,-73.979908
10105,40.762808,-73.978534
10106,40.765243,-73.980438
10107,40.766429,-73.982728
10108,40.780751,-73.977182
10109,40.780751,-73.977182
10110,40.753987,-73.980811
10111,40.759235,-73.97775
10112,40.759291,-73.97979
10113,40.780751,-73.977182
10114,40.780751,-73.977182
10115,40.810906,-73.96375
10116,40.780751,-73.977182
10117,40.780751,-73.977182
10118,40.748998,-73.986467
10119,40.750824,-73.99289
10120,40.750629,-73.989426
10121,40.74964,-73.991889
10122,40.751757,-73.992171
10123,40.751489,-73.990537
10124,40.780751,-73.977182
10125,40.780751,-73.977182
10126,40.780751,-73.977182
10128,40.781894,-73.95039
10129,40.780751,-73.977182
10130,40.780751,-73.977182
10131,40.780751,-73.977182
10132,40.780751,-73.977182
10133,40.780751,-73.977182
10138,40.780751,-73.977182
10149,40.780751,-73.977182
10150,40.780751,-73.977182
10151,40.763419,-73.973971
10152,40.758611,-73.97223
10153,40.763742,-73.97268
10154,40.757986,-73.97267
10155,40.761104,-73.968036
10156,40.780751,-73.977182
10157,40.780751,-73.977182
10158,40.749435,-73.9758
10159,40.780751,-73.977182
10160,40.780751,-73.977182
10161,40.780751,-73.977182
10162,40.769334,-73.94893
10163,40.780751,-73.977182
10164,40.780751,-73.977182
10165,40.752354,-73.9789
10166,40.754591,-73.976238
10167,40.754862,-73.97495
10168,40.751933,-73.976794
10169,40.754463,-73.97606
10170,40.752859,-73.97608
10171,40.756099,-73.97401
10172,40.755494,-73.97447
10173,40.754302,-73.97955
10174,40.751656,-73.97516
10175,40.754305,-73.979782
10176,40.75557,-73.978877
10177,40.755345,-73.97609
10178,40.751378,-73.978507
10179,40.780751,-73.977182
10184,40.780751,-73.977182
10185,40.780751,-73.977182
10196,40.780751,-73.977182
10197,40.780751,-73.977182
10199,40.750308,-74.00058
10203,40.780751,-73.977182
10211,40.780751,-73.977182
10212,40.780751,-73.977182
10213,40.780751,-73.977182
10242,40.780751,-73.977182
10249,40.780751,-73.977182
10250,40.709387,-74.016529
10256,40.780751,-73.977182
10257,40.780751,-73.977182
10258,40.780751,-73.977182
10259,40.780751,-73.977182
10260,40.780751,-73.977182
10261,40.780751,-73.977182
10265,40.780751,-73.977182
10268,40.780751,-73.977182
10269,40.780751,-73.977182
10270,40.706925,-74.008154
10271,40.708669,-74.01043
10272,40.780751,-73.977182
10273,40.780751,-73.977182
10274,40.780751,-73.977182
10275,40.780751,-73.977182
10276,40.780751,-73.977182
10277,40.780751,-73.977182
10278,40.715721,-74.00395
10279,40.713062,-74.00857
10280,40.707467,-74.0178
10281,40.714643,-74.014958
10282,40.717179,-74.01433
10285,40.71533,-74.016306
10286,40.714231,-74.011895
10292,40.780751,-73.977182
10422,40.828279,-73.869454
11286,40.658825,-74.004495
11302,40.75945,-73.715016
11517,40.679845,-73.986415
